GRUPO,ESPÉCIE,NOME POPULAR,CARACTERÍSTICAS
Gimnosperma,Platycladus orientalis,Árvore-da-vida,Galhos organizados em planos verticais.
Gimnosperma,Cryptomeria japonica,Cedro-japonês,Folhas curtas e pontiagudas que cobrem todo o galho.
Gimnosperma,Pinus caribaea,Pinheiro-do-caribe,Cresce muito rápido; madeira usada em reflorestamento.
Gimnosperma,Sequoia sempervirens,Sequóia,Árvore gigante; casca muito grossa e fibrosa.
Gimnosperma,Encephalartos sp.,Cica-da-áfrica,Tronco curto e grosso; folhas saem do topo como coroa.
Gimnosperma,Callitris sp.,Pinheiro-da-austrália,Galhos muito ramificados e compactos.
Gimnosperma,Juniperus chinensis,Bonsai-de-jardim,Forma arbustos retorcidos com folhas em escamas.
Angiosperma,Vriesea baturitensis,Bromélia-de-baturité,Endêmica. Flor vermelha vibrante; só existe lá.
Angiosperma,Handroanthus serratifolius,Ipê-amarelo,Flores amarelas intensas que surgem após as folhas caírem.
Angiosperma,Erythrina velutina,Mulungu,Flores laranjas em formato de foice; tronco com espinhos.
Angiosperma,Hymenaea courbaril,Jatobá,Fruto em vagem dura com farinha comestível dentro.
Angiosperma,Casearia sylvestris,Café-bravo,Árvore de mata úmida com frutinhos vermelhos pequenos.
Angiosperma,Cereus jamacaru,Mandacaru,Cacto alto sem folhas; flor grande que abre à noite.
Angiosperma,Anacardium occidentale,Cajueiro,Fruto com castanha externa; cheiro característico.
Angiosperma,Libidibia ferrea,Jucá,Tronco liso e manchado; usado para fins medicinais.
Angiosperma,Myracrodruon urundeuva,Aroeira-do-sertão,Madeira muito dura; folhas miúdas e cheirosas.
Angiosperma,Tabebuia aurea,Craibeira,Símbolo do NE; flores amarelas em cachos grandes.
Angiosperma,Spondias tuberosa,Umbuzeiro,Copa em formato de guarda-chuva; raízes guardam água.
Angiosperma,Copernicia prunifera,Carnaúba,Palmeira com folhas em formato de leque e cera.
Angiosperma,Handroanthus impetiginosus,Pau-d'arco-roxo,Árvore de grande porte com flores roxas no inverno.
Angiosperma,Ziziphus joazeiro,Juazeiro,"Sempre verde, mesmo na seca; folhas lisas e brilhosas."
Angiosperma,Mimosa caesalpiniifolia,Sabiá,Tronco reto com espinhos; flores brancas pequenas.
Angiosperma,Amburana cearensis,Cumaru,Sementes com cheiro de baunilha; tronco avermelhado.
Angiosperma,Ceiba glaziovii,Barriguda,Tronco inchado para guardar água e cheio de espinhos.
Angiosperma,Guazuma ulmifolia,Mutamba,"Fruto preto, duro e rugoso que parece uma amora seca."
Angiosperma,Hancornia speciosa,Mangabeira,Frutos amarelos doces com látex (leite) branco.
Angiosperma,Enterolobium contortisiliquum,Timbaúba,Árvore gigante; fruto parece uma orelha preta.
